danish,english,ukranian
"Vi starter med nogle introducerende spørgsmål for at høre lidt om dig, så hvis du vil fortælle lidt om hvem du er og hvad der fik dig til at blive radiograf.","Let's start with some introductory questions to learn a bit about you. So, if you could tell us a little about yourself and what led you to become a radiographer.","Давайте почнемо з деяких вступних питань, щоб дізнатися трохи про вас. Отже, розкажіть трохи про себе, і чому ви стали радіографом."
"Nå, jamen jeg hedder Sonja, og hvor gammel er jeg, ja, jeg er 28, ja. Jeg har været radiograf i 6 år og, åh, jeg tror helt tilbage da jeg gik i gymnasiet og vi skulle finde ud af hvad vi skulle være og alt sådan noget, var vi ude på lidt forskellige uddannelser. Jeg aner ikke hvad jeg skulle være. Det har altid tiltalt mig at arbejde med mennesker, jeg har altid været overbevist om at jeg ikke skulle være sygeplejerske, øhm, og jeg ved faktisk ikke præcist hvordan jeg havnede i faget her. Andet end at jeg jo har hørt om det, og nå jamen, det lød jo meget interessant. Og så søgte jeg bare ind.","Well, my name is and how old am I, well, I'm 28, yes. I've been a radiographer for 6 years, and, oh, I think way back when I was in high school and we had to figure out what we wanted to be and all that stuff, we were exploring different professions. I had no idea what I wanted to be. I've always been drawn to working with people, I've always been convinced I shouldn't be a nurse, um, and I don't actually know exactly how I ended up in this field. Other than that, I've heard about it, and well, it sounded quite interesting. So I just applied.","Мене звуть Соня, а скільки мені років,  мені 28. Я працюю радіографом 6 років, думаю, ще з часів школи, коли нам потрібно було визначитися, ким ми хочемо бути, ми розглядали різні професії. Я поняття не мала, ким хочу бути. Я завжди тягнулася до роботи з людьми, я завжди була переконана, що мені не слід бути медсестрою, і я насправді не до кінця розумію, як я потрапила в цю галузь. Окрім цього, я почула про це, і це звучало досить цікаво. Так що я просто подала заявку."
Kan du fortælle lidt om dine arbejdsområder? Hvad du laver her?,Can you tell us about your areas of work? What do you do here?,Чи можете ви розповісти про ваші робочі задачі? Що саме ви робите тут?
"Jeg sidder i vores CT team, så jeg laver mest CT scanning. Og så er jeg også i vores røntgenafsnit, men mest i CT. ","I'm part of our CT team, so I mostly do CT scanning. And I also work in our radiography department, but mostly in CT.","Я частина нашої команди КТ, тому я в основному роблю сканування КТ. І я також працюю в нашому відділенні радіографії, але переважно в КТ."
Hvordan ser en typisk arbejdsdag ud for dig?,What does a typical workday look like for you?,Як виглядає типовий робочий день для вас?
"Jamen, det kan svinge lidt med hvornår jeg møder. Altså hvis jeg har almindelig dagvagt, så møder vi jo ind 07:30, og så er der lige morgen introduktion, og så kommer vi ned i rummene. Og så bruger vi hele dagen med forskellige patienter. Og, så, nogle dage har vi studerende på, som man har ansvaret for, eller som i dag hvor man har oplæring af en ny kollega.","Well, it can vary a bit depending on when I start. So if I have a regular day shift, we start at 07:30, and then there's a morning briefing, and then we go down to the rooms. And then we spend the whole day with different patients. And, some days we have students, whom we are responsible for, or like today, when we have training for a new colleague.","Ну, по-різному, залежно від того, коли я починаю. Так що, якщо у мене звичайна денна зміна, ми починаємо о 07:30, потім йде ранковий брифінг, і тоді ми йдемо до кімнат. І потім ми проводимо весь день з різними пацієнтами. У деякі дні ми маємо студентів, за яких ми відповідаємо, або, як сьогодні, коли ми навчаємо нового колегу."
Ja,Yeah.,Так.
"Så er det lidt forskelligt, hvad, hvad for nogle ekstra opgaver man har udover patienter.","So it's a bit different, what extra tasks you have besides patients.","По-різному,  залежно від  додаткових задач, окрім пацієнтів."
Ja. Og hvor mange patienter er du så i kontakt med i løbet af sådan en typisk arbejdsdag?,Yes. And how many patients do you come into contact with during such a typical workday?,Так. А зі скількома пацієнтами ви контактуєте під час такого типового робочого дня?
"Hvis vi sidder i scanneren, så er det nok en 20 patienter. Hvis jeg er i røntgen, så kan vi godt være 40. Så det varierer meget, og også, hvis det nu er fx sådan er at jeg har vagt, så kan det også godt svinge meget sådan i antallet af hvad jeg har af patienter. ","If we're in the scanner, it's probably around 20 patients. If I'm in radiography, it can be up to 40. So it varies a lot, and also, if I'm on call, for example, it can also vary greatly in the number of patients I have.","Якщо ми в сканері, то це, напевне, близько 20 пацієнтів. Якщо я в радіографії, то це може бути до 40. Дуже по-різному, і також, якщо я на чергуванні, наприклад, то це також зовсім інша кількість пацієнтів."
