danish,english,ukranian
"Lad os komme igang, vi starter med nogle introducerende spørgsmål. Kan du fortælle hvem du er og hvad der fik dig til at blive radiograf?",Let's get started; we'll begin with some introductory questions. Can you tell us who you are and what led you to become a radiographer?,"Давайте розпочинати; ми розпочнемо з кількох вступних питань. Розкажіть, будь ласка, хто ви і що спонукало вас стати радіографом?"
"Jeg valgte at blive radiograf pga. korttidskontakt. Jeg synes det er utroligt spændende og man kan fange en person… altså nu fotograferer jeg ikke mere, jeg er fast i ultralyd, men hvis man bare skal fotografere en lillefinger er det ret spændende, har jeg fanget patienten mens de er der. Men, jeg har været igang i snart 35 år, så det er hele min ballast. Jeg er vant til at arbejde med læger, derfor har jeg valgt, eller blevet headhuntet til at være i ultralyd, fordi det er patientkontakten og relateret til at styre en læge. Fantastisk.","I chose to become a radiographer because of the short-term contact. I find it incredibly exciting, and one can capture a person... Well, now I don't take photos anymore; I specialize in ultrasound. But, if one were just to photograph a fingertip, it's quite exciting, creating a trustful contact to the patient while they're there. However, I've been at it for nearly 35 years, so that's my entire background. I'm used to working with doctors, which is why I chose, or rather, was headhunted to be in ultrasound because of patient contact and being related to directing a doctor. Fantastic.","Я вирішила стати радіографом, бо це дає миттєвий контакт (із людьми). Мені здається це надзвичайно захоплюючим, і можна сфотографувати людину... Ну, зараз я більше не фотографую; я спеціалізуюся на ультразвуці. Але навіть коли потрібно просто сфотографувати кінчик пальця, це захоплююче - створити контакт та довіру із пацієнтєнтом, поки він тут. Я займаюся цим майже 35 років, отже, це весь мій досвід. Я звикла працювати з лікарями, тому я вибрала, або, точніше, мене запросили займатися ультразвуком - через контакт з пацієнтом і можливість спілкування із лікарем. Фантастично."
"Ja, kan du fortælle lidt om dine arbejdsområder her på afdelingen?"," Yes, could you tell us a bit about your work areas here in the department?","Так, розкажіть, будь ласка, трохи про ваші робочі задачі тут у відділенні?"
"Mine arbejdsområder? Ja. Altså som sagt, jeg er i ultralyd og jeg starter dagen simpelthen ved at vi har en læge der visiterer alt det akutte, det starter jeg med at booke sammen med mine kollegaer dernede. Og så er det os der sørger for at patienterne ligger klar til lægerne, det er os der informerer hvad det er der skal ske, og det er os der assisterer til alt intervention af alt der foregår. Så det kræver meget kommunikation.","My work areas? Well, as I said, I'm in ultrasound, and I start the day simply by booking a meeting room with my colleagues down there along with a doctor who triages all the acute cases. Then, it's us who ensure that the patients are ready for the doctors; it's us who inform about what is going to happen, and it's us who assist with all interventions of everything that occurs. So, it requires a lot of communication.","Мої робочі задачі? Ну, як я вже сказала, я займаюся ультразвуком, і я починаю день просто бронюючи кімнату для зустрічі з моїми колегами та із лікарем, який триажує всі гострі випадки. Потім саме ми маємо забезпечити, щоб пацієнти були готові до прийому лікаря; саме ми інформуємо їх про те, що буде далі, і саме ми ассистуємо при всіх процедурах, що б не відбувалося. Для цього потрібно багато комунікації."
"Kan du prøve at beskrive, hvordan en typisk arbejdsdag ser ud for dig?",Could you try to describe what a typical workday looks like for you?,"Можете спробувати описати, як виглядає типовий робочий день для вас"
"Der er ingen typisk arbejdsdag, for det afhænger af hvor meget akut der kommer, som skal pakkes ind og ud. Vi kan jo aldrig måle i hvad det er for nogle patienter vi får og hvor skidt tilpas de er. Vi er i Nordvest, der er mange alkoholikere, men du skal sørge for… altså jeg skal ikke være den der fortæller patienterne: “Hvorfor drikker du?” Alle skal behandles lige. Den store opgave som radiograf, det er at de skal have en god oplevelse, men de skal også helst gerne hurtigt ud af røret igen, for det er ikke her de skal passes og plejes, men det skal være ift. det vi laver med dem.","There's no typical workday because it depends on how much acute work comes in that needs to be dealt with. We can never predict what kind of patients we'll get and how unwell they might be. We are in the Northwestern part of Copenhagen; there are many alcoholics, but you have to make sure... Well, I shouldn't be the one telling patients, ""Why do you drink?"" Everyone should be treated equally. The big task as a radiographer is that they should have a good experience, but they should also preferably get out of the scanner quickly because this department isn't where they should be cared and nurtured for; it should only be strictly related to what we do with them.","Типового робочого дня не існує, оскільки все залежить від того, скільки надходить гострих випадків, з якими ми повинні мати справу. Ми ніколи не можемо передбачити, які пацієнти до нас потраплять і наскільки поганим може бути їх стан. Ми на Північному Заході Копенгагену, тут багато алкоголіків, але треба переконатися... Ну, це не моя справа - казати пацієнтам: ""Чому ви п'єте?"" Кожен має отримати однакове лікування. Важливе завдання радіографа в тому, щоб зробити досвід приємним для пацієнта, але при цьому вони, як правило, повинні якнайшвидше покинути приміщення сканера, оскільки це не те місце, де їх доглядають та піклуються про них; тут все повинно бути суворо пов'язано з лише тим, що ми робимо з ними."
"Og hvor mange… Jeg skal lige høre, du er i ultralyd, laver du også, og det er fordi jeg er ikke helt…","And how many... I just need to ask, you're in ultrasound, do you also... and it's because I'm not entirely…","І скільки... Мені просто треба запитати, ви у відділенні ультразвуку, ви також робите, і це тому, що я не зовсім"
"Jeg er en niche-medarbejder, jeg er uddannet radiograf, jeg har været en af de radiografer som blev uddannet den dag man stillede den første CT-scanner op, så den er jeg ikke engang trænet i, den er jeg bare lært ved at se. Men det var dengang man lavede alting selv. Det var et håndværk. Vi lavede øretungografi, vi lavede lungetongografi, og agrafi og alt det her, men så har jeg efterhånden fået sneget mig rundt til, jeg blev lånt ud til ologerne, fordi vi fik en stenknuser, og så har jeg siddet med en radiolog 2-3 dage om ugen og knust nyresten, som også krævede massere af patientkontakt. Og så blev jeg så hentet ind her fordi man ikke syntes man skulle have 60 forskellige radiografer der ikke kunne finde ud af at dække op eller lejer patienterne så derfor blev jeg hentet og om det her ikke var noget for mig. Jeg kan godt lide det der kombination med at være tæt på lægerne, så behøves jeg ikke at skælde mine kollegaer ud hele tiden, ikke ","I'm a niche employee, I'm trained as a radiographer, I was one of the radiographers trained the day they set up the first CT scanner, so I'm not even trained in that, I just learned by watching. But that was back when we did everything ourselves. It was a craft. We did ear tonography, we did lung tonography, and agrafi and all this, but then I gradually sneaked around, I was lend out to the urologists because we got a lithotripter, and then I spent 2-3 days a week with a urologist crushing kidney stones, which also required a lot of patient contact. And then I was brought in here because they didn't think they should have 60 different radiographers who couldn't figure out how to set up or position the patients, so that's why I was brought in and asked if that was something for me. I like the combination of being close to the doctors, then I don't have to scold my colleagues all the time, right" ,"Я - спеціаліст у вузькій галузі, я навчалася на радіографа, я була серед тих радіографів, які проходили навчання ще до встановлення першого комп'ютерного томографа, тому мене навіть не тренували в цьому, я навчилася просто спостерігаючи. Але це було тоді, коли ми робили все самотужки. Це було мистецтвом. Ми робили ертонографію, ми робили легеневу тонографію, аграфію і все це, але потім я поступово змінила область, мене віддали урологам, тому що ми отримали камінеруйщик, і я проводила 2-3 дні на тиждень з урологом подрібнюючи ниркові камені, що також вимагало багато контакту з пацієнтами. А потім мене перевели сюди, тому що не хотіли тримати 60 різних радіографів, які не могли зрозуміти, як налагодити обладнання або розташувати пацієнтів, тому сюди привели мене і запитали, чи мене це влаштовує. Мені подобається коли лікар поряд, тоді мені не потрібно весь час кричати на своїх колег, правда, Саймоне?"
Det kunne selvfølgelig aldrig være mig (griner).,"Of course, it could never be me (laughs).","Звісно, точно не на мене (сміється)"
Hvor mange patienter er du så i kontakt med i løbet af en arbejdsdag?,How many patients do you come into contact with during a workday?,Зі скількома пацієнтами ви контактуєте протягом робочого дня?
